iter	Passed	Remaining
693	5935	2617
694	5944	2608
695	5952	2599
696	5960	2591
697	5968	2582
698	5976	2573
699	5984	2564
700	5992	2556
701	6000	2547
702	6008	2538
703	6016	2529
704	6025	2521
705	6033	2512
706	6041	2503
707	6049	2494
708	6057	2486
709	6065	2477
710	6073	2468
711	6081	2459
712	6089	2451
713	6097	2442
714	6105	2433
715	6113	2424
716	6121	2416
717	6129	2407
718	6137	2398
719	6145	2389
720	6153	2381
721	6162	2372
722	6170	2364
723	6179	2355
724	6187	2346
725	6195	2338
726	6204	2329
727	6212	2321
728	6220	2312
729	6228	2303
730	6236	2294
731	6243	2285
732	6251	2277
733	6259	2268
734	6267	2259
735	6275	2251
736	6283	2242
737	6291	2233
738	6299	2224
739	6307	2216
740	6316	2207
741	6325	2199
742	6333	2190
743	6342	2182
744	6350	2173
745	6357	2164
746	6365	2155
747	6373	2147
748	6382	2138
749	6390	2130
750	6398	2121
751	6408	2113
752	6417	2105
753	6425	2096
754	6434	2087
755	6442	2079
756	6450	2070
757	6458	2062
758	6466	2053
759	6474	2044
760	6482	2035
761	6492	2027
762	6500	2019
763	6509	2010
764	6519	2002
765	6527	1994
766	6535	1985
767	6543	1976
768	6552	1968
769	6560	1959
770	6568	1950
771	6576	1942
772	6584	1933
773	6592	1924
774	6600	1916
775	6608	1907
776	6616	1898
777	6624	1890
778	6632	1881
779	6641	1873
780	6649	1864
781	6658	1856
782	6667	1847
783	6676	1839
784	6685	1831
785	6694	1822
786	6703	1814
787	6711	1805
788	6720	1797
789	6728	1788
790	6737	1780
791	6746	1771
792	6755	1763
793	6763	1754
794	6772	1746
795	6782	1738
796	6791	1729
797	6800	1721
798	6808	1712
799	6818	1704
800	6828	1696
801	6837	1688
802	6846	1679
803	6855	1671
804	6865	1663
805	6876	1655
806	6886	1646
807	6895	1638
808	6905	1630
809	6915	1622
810	6924	1613
811	6933	1605
812	6943	1597
813	6953	1588
814	6963	1580
815	6971	1572
816	6980	1563
817	6988	1554
818	6997	1546
819	7006	1537
820	7014	1529
821	7023	1520
822	7032	1512
823	7041	1503
824	7049	1495
825	7058	1486
826	7066	1478
827	7074	1469
828	7083	1461
829	7091	1452
830	7102	1444
831	7110	1435
832	7118	1427
833	7126	1418
834	7135	1409
835	7143	1401
836	7151	1392
837	7159	1384
838	7167	1375
839	7175	1366
840	7183	1358
841	7191	1349
842	7200	1340
843	7208	1332
844	7218	1324
845	7226	1315
846	7234	1306
847	7243	1298
848	7251	1289
849	7259	1281
850	7268	1272
851	7276	1264
852	7285	1255
853	7294	1247
854	7302	1238
855	7310	1229
856	7319	1221
857	7327	1212
858	7335	1204
859	7344	1195
860	7353	1187
861	7362	1178
862	7369	1169
863	7378	1161
864	7386	1152
865	7394	1144
866	7402	1135
867	7410	1127
868	7418	1118
869	7427	1109
870	7434	1101
871	7443	1092
872	7450	1083
873	7458	1075
874	7466	1066
875	7474	1058
876	7482	1049
877	7491	1040
878	7501	1032
879	7509	1024
880	7517	1015
881	7525	1006
882	7533	998
883	7541	989
884	7549	980
885	7557	972
886	7565	963
887	7576	955
888	7584	946
889	7592	938
890	7601	929
891	7609	921
892	7617	912
893	7626	904
894	7634	895
895	7643	887
896	7650	878
897	7658	869
898	7666	861
899	7674	852
900	7682	844
901	7691	835
902	7699	827
903	7707	818
904	7715	809
905	7723	801
906	7731	792
907	7739	784
908	7747	775
909	7755	767
910	7763	758
911	7771	749
912	7778	741
913	7786	732
914	7794	724
915	7802	715
916	7812	707
917	7820	698
918	7828	689
919	7836	681
920	7844	672
921	7853	664
922	7861	655
923	7869	647
924	7878	638
925	7886	630
926	7894	621
927	7904	613
928	7912	604
929	7920	596
930	7929	587
931	7938	579
932	7947	570
933	7956	562
934	7965	553
935	7974	545
936	7984	536
937	7993	528
938	8002	519
939	8011	511
940	8020	502
941	8029	494
942	8037	485
943	8046	477
944	8055	468
945	8064	460
946	8073	451
947	8081	443
948	8091	434
949	8099	426
950	8108	417
951	8116	409
952	8127	400
953	8137	392
954	8145	383
955	8154	375
956	8162	366
957	8171	358
958	8179	349
959	8188	341
960	8196	332
961	8205	324
962	8214	315
963	8222	307
964	8230	298
965	8239	289
966	8247	281
967	8257	272
968	8266	264
969	8274	255
970	8284	247
971	8293	238
972	8300	230
973	8309	221
974	8317	213
975	8325	204
976	8334	196
977	8342	187
978	8350	179
979	8359	170
980	8367	162
981	8375	153
982	8383	144
983	8391	136
984	8400	127
985	8409	119
986	8420	110
987	8429	102
988	8438	93
989	8447	85
990	8457	76
991	8465	68
992	8474	59
993	8482	51
994	8490	42
995	8498	34
996	8506	25
997	8514	17
998	8523	8
999	8531	0
