,mean,std
RSI60,0.00782677673215585,0.0003157623679753368
RSI480,0.002772690212678222,0.00011233891924924783
RSI960,0.0027706624717207156,4.92667061132239e-05
RSI2400,0.001220892063922707,2.57129167243162e-06
RSI4800,0.001000844944388075,2.618643275166036e-05
RSI9600,0.0013282376317676446,3.1389767405488914e-05
TRIX5,0.00815427499412643,0.0003459025653705063
TRIX30,0.0028588914173167702,0.00013981576091620418
TRIX60,0.001000771037294209,6.102301576750838e-06
TRIX480,0.0009690003395740269,
TRIX960,0.0015639532962614788,3.776115261480421e-05
TRIX2400,0.0012903856544801873,5.187029080239951e-06
WILLR5,0.005239868572313996,0.0003154520501715546
WILLR30,0.010012477037187717,0.0003414382884769728
WILLR60,0.009445126579555199,0.0003240867075324186
WILLR480,0.008678934289379148,0.00031559300802096873
WILLR960,0.0047984472546308485,3.3404367517788704e-05
WILLR2400,0.0050232587943960065,0.0002832459594705228
WILLR4800,0.0015454869955929132,4.4311627755233913e-05
WILLR9600,0.002651183855623292,0.00013401152528072548
ATR5,,
ATR30,0.0006303514678305115,
ATR60,0.0007276626523650859,
ATR480,0.0009751550799238453,
ATR960,0.0007375922879430764,
ATR2400,0.000892212066505358,
ATR4800,0.0007415662994992717,
ATR9600,0.002119863349312005,9.523856359958695e-05
NATR5,0.0005296392882230906,
NATR30,0.0015955855936525757,4.195552292625902e-05
NATR60,0.0007891205472538132,2.0628153698222928e-05
NATR480,0.0008022643169064425,6.085340870622398e-06
NATR960,0.0010739899350218041,1.876373869679033e-05
NATR2400,,
NATR4800,0.0012785774257805503,
NATR9600,0.0010267666260720147,1.644365554638767e-05
BETA5,0.0018393680077369817,7.86311443802756e-05
BETA30,0.0011445377385000107,7.360430198901711e-06
BETA60,0.000741628082624313,1.724056323134513e-05
BETA480,0.0008938789794535176,2.3730099833166634e-05
BETA960,0.0016378199771315155,
BETA2400,0.001461406426053213,
BETA4800,0.0013538964930928166,8.475941115654223e-06
BETA9600,0.001096474114056064,1.511630805253007e-05
CORREL5,0.0012770589429723454,8.376966807074444e-06
CORREL30,0.000840776547224691,1.051627938848039e-05
CORREL60,,
CORREL480,0.0006044843533575169,
CORREL960,0.0007296374268199701,7.5428701542279715e-06
CORREL2400,0.000881811476780399,
CORREL4800,0.0008260835253196099,
CORREL9600,0.0008880395215768288,
LINEARREG_ANGLE5,0.009520748735228166,0.0003527875793662167
LINEARREG_ANGLE30,0.00534725705216896,0.00030151288174531715
LINEARREG_ANGLE60,0.00475092945023785,0.0001655298318725734
LINEARREG_ANGLE480,0.0013074023401690978,1.8590935445841566e-05
LINEARREG_ANGLE960,0.0019464091786365115,4.770656260942205e-05
LINEARREG_ANGLE2400,0.0014589518875680774,2.990215005270127e-05
LINEARREG_ANGLE4800,0.0010586448886511853,1.6873915389611258e-05
LINEARREG_ANGLE9600,0.0007774386724660187,6.291050280827785e-06
LINEARREG_SLOPE5,0.011378600682553303,0.0003589354135158539
LINEARREG_SLOPE30,0.007547472016874236,0.00029731631753156923
LINEARREG_SLOPE60,0.006162718333785519,0.0002652990733221595
LINEARREG_SLOPE480,0.0012596790832038376,8.007754470565875e-06
LINEARREG_SLOPE960,0.0009285482283032999,1.3885611395693914e-05
LINEARREG_SLOPE2400,0.0011211847377242297,2.0640099909447424e-05
LINEARREG_SLOPE4800,0.002395327899366188,8.033927411742688e-05
LINEARREG_SLOPE9600,0.0009731151002242369,
AROON_5_aroondown,0.0168164238598105,3.8352271026650505e-05
AROON_5_aroonup,0.009242862297439276,0.00031486936277248665
AROON_30_aroondown,0.009092742450662135,0.00036078906775766187
AROON_30_aroonup,0.01334142693571385,0.00027748276000699984
AROON_60_aroondown,0.008293724499612997,0.0003094006884630171
AROON_60_aroonup,0.009492204502978305,0.0002463986209360346
AROON_480_aroondown,0.0062092508301759,0.00032889480652667676
AROON_480_aroonup,0.0035572467415477807,0.00018679441812290048
AROON_960_aroondown,0.0033682008399988704,0.00010319578830693242
AROON_960_aroonup,,
AROON_2400_aroondown,0.0016975415458168935,
AROON_2400_aroonup,0.0024258085011753337,8.616052998605409e-07
AROON_4800_aroondown,,
AROON_4800_aroonup,,
AROON_9600_aroondown,0.0012179173387523049,
AROON_9600_aroonup,0.0005905718424277804,1.358802715880312e-05
STOCHRSI_5_fastk,0.01352382606344953,0.0002954135110747964
STOCHRSI_5_fastd,0.010694147587613048,0.0002399694902747674
STOCHRSI_30_fastk,0.011778315253238383,0.00033120204939990247
STOCHRSI_30_fastd,0.013818773487319596,0.00022555113166817042
STOCHRSI_60_fastk,0.012088788074141493,0.0003290651784562392
STOCHRSI_60_fastd,0.011862956978637502,0.00031350351770251575
STOCHRSI_480_fastk,0.013935360298604456,0.0003128224664239369
STOCHRSI_480_fastd,0.011103386311309702,0.00029621410556306544
STOCHRSI_960_fastk,0.01413749510176996,0.0002725901618861509
STOCHRSI_960_fastd,0.010902315826322383,0.0002963735059757253
STOCHRSI_2400_fastk,0.013579200581845396,0.0003522350808496726
STOCHRSI_2400_fastd,0.011822076185086497,0.0003767289582367647
STOCHRSI_4800_fastk,0.015039871101557724,0.00029087745621799837
