,mean,std
MOM5,0.010797864519318804,0.0005161212396224789
MOM30,0.005799458550400779,0.00038995297580818805
MOM60,0.003037052678964422,0.0001645985510650332
MOM480,,
MOM960,0.0016889372472760054,3.194296420818785e-05
MOM2400,0.001515719295911786,2.6823936637236887e-05
MOM4800,0.001756888471379639,1.8998846674512107e-05
MOM9600,0.0017552635049757083,4.428828184514067e-05
ROC5,0.017545606542787296,0.0005460502964806676
ROC30,0.008620888794687824,0.0004889038545616935
ROC60,0.004195717075251062,0.0003038785701925329
ROC480,0.0010608308105736,1.1562269601912759e-05
ROC960,0.001347945443621423,9.882046563725997e-06
ROC2400,0.0014166666498957102,3.624412880248612e-05
ROC4800,0.00225542409358108,3.531140422081918e-05
ROC9600,0.0010218375748403989,1.6736701479382855e-05
RSI5,0.015307957460429828,0.0005769186781613808
RSI30,0.010739888997031297,0.0005292950574906894
RSI60,0.007339368924775417,0.0003951263984649322
RSI480,,
RSI960,0.0010366492747850605,
RSI2400,0.0016747060764185295,3.6584486510422105e-05
RSI4800,0.0014538397204679329,2.8502141540260424e-05
RSI9600,0.0017706637961304719,3.5873087541906585e-05
TRIX5,0.013270150103274146,0.0005511440636551212
TRIX30,0.001891501899597655,
TRIX60,0.0012074566638778546,2.27128036127835e-05
TRIX480,0.0011243830962011407,1.3624465887921254e-05
TRIX960,0.0019857995783336135,2.899331325433336e-05
TRIX2400,0.001574424997183167,2.715554207447654e-05
WILLR5,0.007504739413019992,0.00045946723449385665
WILLR30,0.006882741339603686,0.0003928269100306419
WILLR60,0.007615711675880231,0.00043292980244039026
WILLR480,0.0010527160188124815,
WILLR960,0.0020220909748515305,9.558190745191017e-05
WILLR2400,0.002245028119484726,0.00010937996323149038
WILLR4800,0.0014090558274308812,1.384263563477232e-05
WILLR9600,0.0013149162373282894,2.9462141981137632e-05
ATR5,0.001278772617562712,3.747135199081553e-05
ATR30,0.0018294887511672243,2.0859019897984164e-05
ATR60,0.0011023738433024682,9.412986364405208e-06
ATR480,0.0013641942426411604,2.5389588662144085e-05
ATR960,0.001700535087027757,4.2136105392870725e-05
ATR2400,0.0006428109402112548,2.7680902231632156e-06
ATR4800,0.0010473846703741984,2.1090517396175863e-05
ATR9600,0.001664883687690937,1.4923242096229292e-05
NATR5,0.0012757022573395445,2.8172205858085187e-05
NATR30,0.0013420905481376815,2.6140343885723154e-05
NATR60,0.0012683502669273332,3.568225279405106e-05
NATR480,0.001246339987617119,2.0310705041331405e-05
NATR960,0.001126913480411831,1.4455646660875829e-05
NATR2400,0.0012871757139811166,2.5752269437154872e-05
NATR4800,0.0014056762254044805,1.4740917820900324e-05
NATR9600,0.0014756722796975352,2.4575284505512205e-05
BETA5,0.0017103814529369893,3.601361725405175e-05
BETA30,0.0017181994306656255,3.1362889528581764e-05
BETA60,0.0013844921188872303,1.716809806283577e-05
BETA480,0.0010802221808856355,1.824826341895506e-05
BETA960,,
BETA2400,0.0018116027342343847,2.8690351275385405e-05
BETA4800,0.001276159872063355,1.4788460047419435e-05
BETA9600,0.0011474753752368047,1.5377287780450642e-05
CORREL5,0.0015763858347271889,2.235119279585369e-05
CORREL30,0.001453604708705968,2.3678074429969335e-05
CORREL60,0.0013914265857014718,2.9373800126647746e-05
CORREL480,0.0011510806732451214,1.9699642128419934e-05
CORREL960,0.0012811434427837363,2.0010382919645837e-05
CORREL2400,0.001402565837084794,2.571561969859746e-05
CORREL4800,0.0010762536671892625,8.226171681584355e-06
CORREL9600,0.001187139434591231,1.1744214140576141e-05
LINEARREG_ANGLE5,0.015844999559237936,0.0005713748722929358
LINEARREG_ANGLE30,0.005504338369651039,0.0003683159085911605
LINEARREG_ANGLE60,0.0025794996161031627,0.00016058787187141568
